appName,Data Linked to You - Purpose: Developer’s Advertising or Marketing,Data Linked to You - Purpose: Analytics,Data Linked to You - Purpose: Product Personalization,Data Linked to You - Purpose: App Functionality,Data Not Linked to You - Purpose: Third-Party Advertising,Data Not Linked to You - Purpose: Developer’s Advertising or Marketing,Data Not Linked to You - Purpose: Analytics,Data Not Linked to You - Purpose: App Functionality,Data Linked to You - Purpose: Third-Party Advertising,Data Not Linked to You - Purpose: Product Personalization,Data Linked to You - Purpose: Other Purposes,Data Not Linked to You - Purpose: Other Purposes
Clever,[],[],[],[],Usage Data (Advertising Data),Location (Coarse Location),"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data)",Usage Data (Product Interaction),[],[],[],[]
DraftKings,"Purchases (Purchase History); Location (Coarse Location); Contact Info (Physical Address, Email Address, Name, Phone Number, Other User Contact Info); User Content (Gameplay Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Crash Data)","Purchases (Purchase History); Financial Info (Payment Info); Location (Precise Location, Coarse Location); Contact Info (Physical Address, Email Address, Name, Phone Number, Other User Contact Info); Contacts (Contacts); User Content (Gameplay Content, Customer Support); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Crash Data, Performance Data); Other Data (Other Data Types)","Purchases (Purchase History); Financial Info (Payment Info); Location (Precise Location, Coarse Location); Contact Info (Physical Address, Name, Phone Number, Other User Contact Info); Contacts (Contacts); User Content (Photos or Videos, Gameplay Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction)","Purchases (Purchase History); Financial Info (Payment Info); Location (Precise Location, Coarse Location); Contact Info (Physical Address, Email Address, Name, Phone Number, Other User Contact Info); Contacts (Contacts); User Content (Photos or Videos, Gameplay Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Crash Data, Performance Data)",[],[],[],[],Location (Coarse Location); User Content (Gameplay Content); Identifiers (Device ID); Usage Data (Advertising Data); Other Data (Other Data Types),[],[],[]
MyHotel,[],[],[],[],"Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",[],[],[],Identifiers (Device ID); Usage Data (Other Usage Data)
Photomath,[],[],[],[],[],[],"Purchases (Purchase History); Location (Coarse Location); User Content (Photos or Videos); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Other Usage Data); Diagnostics (Crash Data, Performance Data); Other Data (Other Data Types)","Purchases (Purchase History); Location (Coarse Location); Identifiers (User ID, Device ID)",[],[],[],"User Content (Photos or Videos, Customer Support)"
CrowdEvolution,"Location (Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction)","Location (Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data)",Usage Data (Product Interaction),Usage Data (Product Interaction),[],[],[],[],"Location (Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",[],[],[]
ESPN,"Location (Coarse Location); Contact Info (Email Address, Name); Identifiers (User ID, Device ID); Usage Data (Product Interaction)","Location (Coarse Location); Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",Contact Info (Name),"Location (Coarse Location); Contact Info (Email Address, Name, Phone Number); User Content (Customer Support); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",[],Purchases (Purchase History),"Purchases (Purchase History); Diagnostics (Crash Data, Performance Data)",Purchases (Purchase History); Location (Precise Location),"Location (Coarse Location); Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)",[],[],[]
Wordle,[],[],[],[],"Purchases (Purchase History); Location (Coarse Location); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data)","Purchases (Purchase History); Location (Coarse Location); Contact Info (Email Address, Other User Contact Info); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Purchases (Purchase History); Location (Coarse Location); Contact Info (Email Address, Other User Contact Info); User Content (Customer Support); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Purchases (Purchase History); Location (Coarse Location); Contact Info (Email Address, Other User Contact Info); User Content (Customer Support); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",[],"Purchases (Purchase History); Location (Coarse Location); User Content (Customer Support); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",[],"Contact Info (Email Address, Other User Contact Info); User Content (Customer Support)"
WeaponCraftRun,"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)","Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)","Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)","Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",[],[],[],[],"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",[],"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",[]
Duolingo,"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Advertising Data)","Purchases (Purchase History); Location (Coarse Location); Contact Info (Email Address, Name, Phone Number); User Content (Other User Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",Purchases (Purchase History); User Content (Other User Content),"Purchases (Purchase History); Financial Info (Payment Info); Location (Coarse Location); Contact Info (Email Address, Name, Phone Number); Contacts (Contacts); User Content (Photos or Videos, Customer Support, Other User Content); Identifiers (User ID, Device ID); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",[],[],[],[],"Purchases (Purchase History); Location (Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data); Other Data (Other Data Types)",[],"Contact Info (Phone Number); Identifiers (User ID, Device ID)",[]
TheWeatherChannel,"Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); Search History (Search History); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data); Other Data (Other Data Types)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Search History (Search History); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",Location (Coarse Location); Contact Info (Name); Search History (Search History); Identifiers (Device ID); Usage Data (Product Interaction),"Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); User Content (Customer Support); Search History (Search History); Identifiers (User ID, Device ID); Diagnostics (Crash Data, Performance Data); Other Data (Other Data Types)",[],[],[],[],"Location (Coarse Location); Search History (Search History); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Other Diagnostic Data); Other Data (Other Data Types)",[],Identifiers (Device ID),[]
Knowunity,Identifiers (User ID); Usage Data (Product Interaction),Identifiers (User ID); Usage Data (Product Interaction),Purchases (Purchase History); Contact Info (Name); Identifiers (User ID),"Purchases (Purchase History); Contact Info (Email Address, Name); Identifiers (User ID); Usage Data (Product Interaction)",Search History (Search History),Browsing History (Browsing History),Search History (Search History); Browsing History (Browsing History),User Content (Other User Content); Search History (Search History); Browsing History (Browsing History); Identifiers (Device ID); Diagnostics (Crash Data),[],User Content (Other User Content); Search History (Search History); Browsing History (Browsing History),Contact Info (Email Address); Identifiers (User ID),Usage Data (Advertising Data)
WeatherLive,Purchases (Purchase History); Contact Info (Email Address); Identifiers (Device ID); Usage Data (Advertising Data),"Purchases (Purchase History); Location (Precise Location, Coarse Location); User Content (Customer Support); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (Device ID); Usage Data (Product Interaction)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); User Content (Customer Support); Identifiers (Device ID); Usage Data (Advertising Data)",[],[],"Diagnostics (Crash Data, Performance Data)","User Content (Other User Content); Diagnostics (Crash Data, Performance Data)","Location (Precise Location, Coarse Location); Identifiers (Device ID); Usage Data (Advertising Data)",User Content (Other User Content),Contact Info (Email Address),[]
Cars.com,"Location (Coarse Location); Contact Info (Email Address, Name, Phone Number); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)","Location (Precise Location, Coarse Location); Contact Info (Email Address, Name, Phone Number); User Content (Other User Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)","Location (Precise Location, Coarse Location); Contact Info (Email Address, Name, Phone Number); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)","Location (Precise Location, Coarse Location); Contact Info (Email Address, Name, Phone Number); User Content (Other User Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)",[],[],[],"Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Location (Coarse Location); Contact Info (Email Address, Name, Phone Number); User Content (Other User Content); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)",[],[],[]
WeatherNow,[],[],[],[],"Location (Precise Location, Coarse Location); Identifiers (Device ID); Usage Data (Advertising Data)",[],"Location (Precise Location, Coarse Location); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Crash Data, Performance Data)","Location (Precise Location, Coarse Location); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data)",[],"Location (Precise Location, Coarse Location); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data)",[],[]
onXHunt,"Location (Coarse Location); Contact Info (Email Address); Browsing History (Browsing History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)","Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); User Content (Customer Support); Search History (Search History); Identifiers (User ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",Location (Coarse Location); Contact Info (Email Address); Identifiers (User ID); Usage Data (Product Interaction),"Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); User Content (Photos or Videos, Customer Support, Other User Content); Search History (Search History); Identifiers (User ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",[],[],[],[],"Location (Coarse Location); Contact Info (Email Address); Browsing History (Browsing History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)",[],[],[]
